Region,Site,DecayClass,TreeSpecies,WoodType,mg CO2/g/d,Moisture Content (%),Density (g/cm3),TC %,TKN %,P mg/kg,K mg/kg,Ca mg/kg,Mg mg/kg,Mn mg/kg,C/N,N/P,Diameter
Northwest,2,5,Black spruce,softwood,1.52,61.95039459,0,51.49,0.2213,140.5,2289.81,4789.28,882.08,481.76,232.67,15.7523507,20.95
Northwest,2,5,Black spruce,softwood,0.64,80.8040201,0.125,52.91,0.136,84.47,324.63,1715.25,286.94,75.28,388.92,16.10539323,9.15
Northwest,2,5,Jack pine,softwood,0.78,76.56662665,0.136,49.5,0.1516,97.08,227.64,2331.6,382.31,114.71,326.4,15.62003268,9
Northwest,2,1,Trembling aspen,hardwood,0.28,72.18208092,0.434,49.68,0.067,46.68,668.27,7492.27,1024.95,8.81,741.95,14.3451311,10
Northwest,2,1,Trembling aspen,hardwood,0.89,83.63780778,0.342,46.29,0.1042,39.88,5607.25,5787,1191.73,40.08,444.12,26.13745962,9.75
Northwest,2,1,Trembling aspen,hardwood,0.75,57.01112878,0.458,49.43,0.0794,54.66,787.4,5557.25,780.67,5.1,622.52,14.52797804,9.35
Northwest,2,2,Trembling aspen,hardwood,1.2,47.7553034,0.304,49.47,0.1009,39.8,159.6,4417.64,697.11,41.46,490.44,25.34458379,9
Northwest,2,2,Trembling aspen,hardwood,0.9,58.12558326,0.286,49.35,0.0522,29.11,2295.86,2465.86,1108.46,6.58,945.46,17.9297523,8.9
Northwest,2,2,Trembling aspen,hardwood,0.53,50.78431373,0.209,48.32,0.0921,36.72,593.19,5584.17,1050.36,33.96,524.88,25.07520638,8.2
Northwest,2,3,Trembling aspen,hardwood,0.81,37.85796105,0.357,49.54,0.1403,80.35,1746.38,4834.89,743.99,13.51,353.24,17.4554479,10.35
Northwest,2,3,Trembling aspen,hardwood,2,54.79452055,0.22,49.61,0.1098,67.44,1104.88,5547.33,1060.1,1,451.68,16.28616975,9.25
Northwest,2,3,Trembling aspen,hardwood,1.31,72.27059612,0.197,47.84,0.1359,104.63,915.95,7983.84,1549.62,66.4,351.91,12.99272143,10.1
Northwest,2,4,Trembling aspen,hardwood,0.12,79.93465832,0.101,45.7,0.1917,176.1,918.47,16316.23,1432.06,84.34,238.41,10.88403085,10.75
Northwest,2,4,Trembling aspen,hardwood,0.94,60.36191297,0.133,47.74,0.2652,192.3,534.36,6828.47,871.33,61.87,180.02,13.79011088,10.25
Northwest,2,4,Trembling aspen,hardwood,0.27,87.72760379,0.132,22.92,0.2125,142.95,345.17,4840.41,634.63,59.55,107.9,14.86245021,11.25
Northwest,2,5,Trembling aspen,hardwood,0.99,84.50660928,0.079,37.45,0.3464,240.21,292.8,6368.93,576.62,82.22,108.12,14.41882334,10.9
Northwest,2,5,Trembling aspen,hardwood,1.2,83.22517846,0.08,51.62,0.2531,238.48,695.95,11565.71,1771.04,104.67,203.95,10.61392745,10.5
Northwest,2,5,Trembling aspen,hardwood,1.56,70.67488866,0.087,43.56,0.2039,158.25,2040.88,10178.04,1635.9,79.95,213.59,12.88741892,8.25
Northwest,2,5,Trembling aspen,hardwood,0.48,90.94636146,0.189,48.97,0.1599,144.59,892.49,5956.51,745.98,45.4,306.26,11.05857976,12.75
Northwest,2,5,Trembling aspen,hardwood,0.65,85.51181102,0.157,49.09,0.1298,84.82,1967.71,7438.8,1078.9,59.39,378.29,15.30031627,10
Northwest,3,1,Black spruce,softwood,0.4,34.1110746,0.443,49.24,0.0306,33.88,330.41,2376.48,270.61,150.95,1609.41,9.031573833,10.3
Northwest,3,1,Black spruce,softwood,0.54,39,0.5,49.12,0.045,39.89,379.55,2513.9,248.23,147.85,1092.23,11.27529199,9.7
Northwest,3,1,Black spruce,softwood,0.66,44.69103568,0.434,49.33,0.0354,49.32,437.29,2067.24,173,153.72,1392.03,7.185525834,8.95
Northwest,3,2,Jack pine,softwood,0.41,63.08296514,0.37,50.75,0.0107,10,55.43,1561.72,275.75,44.76,4758.03,10.66704732,13.05
Northwest,3,2,Jack pine,softwood,0.42,64.98964191,0.313,50.32,0.0352,19.49,66.23,1331.32,284.41,64.01,1427.96,18.08191212,11.6
Northwest,3,2,Jack pine,softwood,0.26,62.91270918,0.386,50,0.0164,14.76,57.69,1014.71,174.65,4.64,3041.13,11.13985551,9.25
Northwest,3,3,Jack pine,softwood,0.58,56.84468999,0.404,49.89,0.0391,10,50,900.61,227.88,13.25,1274.86,39.13160953,8.8
Northwest,3,3,Black spruce,softwood,0.98,68.73527101,0.226,48.13,0.099,56.64,50,1954.67,320.29,370.97,486.35,17.47357828,8.3
Northwest,3,3,Jack pine,softwood,0.5,34.92695883,0.326,50.17,0.0846,30.27,92.22,1163.94,290.19,72.33,593.16,27.9412427,8.5
Northwest,3,4,Black spruce,softwood,0.42,75.50455085,0.155,50.64,0.1306,70.32,193.69,2817.49,215.8,177.73,387.6,18.57976651,16.7
Northwest,3,4,Black spruce,softwood,0.34,69.40032415,0.202,51.02,0.168,121.47,63.6,2900.52,259.95,207.48,303.71,13.82888303,13.95
Northwest,3,4,Black spruce,softwood,0.72,77.8879524,0.144,52.18,0.1539,91.36,49.65,2843.9,244.05,201.81,339.06,16.84636204,11.25
Northwest,3,5,Jack pine,softwood,1.26,64.70588235,0.197,45.38,0.1123,45.91,44.72,910.15,148.69,39.56,403.91,24.47188427,12.75
Northwest,3,5,Jack pine,softwood,0.78,63.78113516,0.152,51.67,0.1095,72.3,48.97,1241.2,205.48,60.49,471.74,15.15003251,12.65
Northwest,3,5,Black spruce,softwood,0.88,82.57464513,0.098,43.79,0.2279,132.37,406.25,2223.74,210.05,137.69,192.16,17.21387059,14.9
Northwest,3,1,Trembling aspen,hardwood,0.72,61.20996441,0.393,48.98,0.0795,57.53,1077.16,6708.28,586.31,48.74,616.3,13.81623533,12.05
Northwest,3,1,Trembling aspen,hardwood,1.01,65.4109589,0.359,48.93,0.0871,88.95,1384.9,3373.74,425.99,18.45,561.61,9.795425385,10.85
Northwest,3,1,Trembling aspen,hardwood,0.65,61.99712644,0.38,48.63,0.0694,66.19,2680.65,8512.37,1290.37,85.26,700.5,10.48855662,9.95
Northwest,3,2,Trembling aspen,hardwood,0.8,49.3614304,0.32,47.8,0.0751,33.93,817.68,10310.37,834.37,1,636.1,22.14926507,10.25
Northwest,3,2,Trembling aspen,hardwood,0.58,40.93406593,0.312,47.56,0.0998,51.44,869,10951.54,759.41,1,476.66,19.39901044,10.75
Northwest,3,2,Trembling aspen,hardwood,0.6,44.98765432,0.292,44.37,0.071,10,2359.76,20637.1,2939.11,193.74,624.63,71.0309,9.4
Northwest,3,3,Trembling aspen,hardwood,1.44,81.05960265,0.202,47.97,0.0889,77.01,828.45,3556.3,526.04,13.57,539.56,11.54377691,11
Northwest,3,3,Trembling aspen,hardwood,1.13,83.36058872,0.261,47.66,0.0671,34.51,800.85,3158.37,561.73,0.99,709.79,19.45786056,10.05
Northwest,3,3,Trembling aspen,hardwood,1,57.90258449,0.37,48.17,0.0427,21.99,710.02,3948.69,540.38,4.67,1127.72,19.42123696,9.6
Northwest,3,4,Trembling aspen,hardwood,0.74,82.81192492,0.073,50.04,0.2051,127.58,1143.84,8163.77,920.44,1,243.96,16.07810045,12.1
Northwest,3,4,Trembling aspen,hardwood,1.13,86.59081674,0.076,49.13,0.2806,232.31,2248.77,4684.32,833.81,42.54,175.06,12.08013238,11.6
Northwest,3,4,Trembling aspen,hardwood,1.17,86.63303909,0.129,49.87,0.2081,148.23,487.6,4602.41,591.41,27.08,239.61,14.04099066,9.5
Northwest,3,5,Trembling aspen,hardwood,1.79,90.58456046,0.094,50.08,0.3417,232.11,418.96,5814.74,573.58,107.5,146.58,14.71920612,8.4
Northwest,3,5,Trembling aspen,hardwood,1.3,85.92213921,0.153,48.78,0.2247,185.16,889.5,10120.56,715.75,60.45,217.1,12.13520889,11.25
Northwest,3,5,Trembling aspen,hardwood,1.06,83.81474104,0.086,44.34,0.3739,230.43,306.17,3134.56,291.19,50.59,118.59,16.22734449,12
Northeast,1,1,Jack pine,softwood,0.31,53.69586454,0.471,50.29,0.0258,27.96,441.71,1557.79,226.4,90.53,1945.89,9.24435638,10.6
Northeast,1,1,Jack pine,softwood,0.23,50,0.478,49.76,0.031,87.95,216.6,1048.65,152.42,88.85,1606.16,3.522813375,10.05
Northeast,1,1,Jack pine,softwood,0.38,56.75398048,0.438,50.35,0.0265,20.16,272.8,1018.1,224.54,101.2,1899.01,13.15186751,9.6
