Region,Site,DecayClass,TreeSpecies,WoodType,mg CO2/g/d,Moisture Content (%),Density (g/cm3),TC %,TKN %,P mg/kg,K mg/kg,Ca mg/kg,Mg mg/kg,Mn mg/kg,C/N,N/P,Cmass,Nmass,Pmass,Kmass,Camass,Mgmass,Mnmass,LowerDiameter,UpperDiameter,Length
3W,1,4,Po,hardwood,0.53,56.6590389,0.366,50.31,0.2425,91.61,288.53,5964.27,569.58,21.55,207.44,26.4720966,3347.935297,16.1374341,0.609629005,1.9200552,39.68990271,3.790333903,0.143406889,8.5,7.5,208.0
3W,1,4,Po,hardwood,0.99,78.09204219,0.172,47.62,0.436,249.64,510.01,7659.71,619.06,61.48,109.2,17.46674025,1489.222165,13.63504544,0.780700171,1.594956313,23.95424172,1.935988814,0.19226665,15.8,10.5,192.0
3W,1,4,Po,hardwood,0.38,66.8303095,0.143,48.29,0.3523,275.6,435.84,11995.29,1148.23,11.7,137.06,12.78258043,1255.552555,9.159891598,0.716567166,1.133195332,31.18806588,2.985427854,0.030420304,9.1,7.5,211.0
3W,1,5,Po,hardwood,1.12,86.53631285,0.1,49.64,0.1798,111.13,208.26,9519.5,860,5.03,275.99,16.18360914,902.55448,3.2691236,0.202056566,0.378658332,17.3083549,1.563652,0.009145546,11.5,11.5,84.0
3W,2,1,Sb,softwood,0.51,86.17276545,0.395,49.63,0.0279,37.17,458.86,2212.09,190.11,177.01,1781.09,7.495546486,3564.372007,2.00374731,0.266950851,3.295482045,15.88698705,1.365349108,1.271266349,15.6,15.2,244.5
3W,2,1,Sb,softwood,0.24,87.6702509,0.366,49.49,0.0376,47.13,503.03,2403.76,328.59,161.65,1315.92,7.980122062,3293.367479,2.502134112,0.313631864,3.347469474,15.99609014,2.186638957,1.07571803,19.3,11.5,257.0
3W,2,1,Sb,softwood,0.36,51.22540559,0.398,49.34,0.0272,33.91,477.4,1937.97,213.36,175.46,1812.34,8.027984862,3570.457522,1.968310592,0.245387545,3.454674546,14.02399587,1.543965985,1.269705061,14.4,12.8,306.0
3W,2,2,Sb,softwood,0.21,39.82999393,0.493,50.5,0.0528,44.96,468.02,1868.03,173.51,220.55,955.82,11.75000004,4526.68163,4.732847328,0.403009121,4.195203043,16.74450908,1.555296098,1.976949769,11.2,9.2,239.0
3W,2,2,Sb,softwood,0.5,43.70883882,0.386,50.44,0.0372,32.32,815.34,1899.1,201.14,185.4,1355.75,11.51231303,3540.006309,2.610789744,0.226829905,5.722261586,13.32836237,1.411651207,1.301183921,13.2,10.8,240.0
3W,2,2,Sb,softwood,1.09,27.83346184,0.409,49.39,0.0183,17.49,218.25,1786.19,152.74,196.06,2703.21,10.44658918,3672.856728,1.360868154,0.130063301,1.623002594,13.28289119,1.13584154,1.457988034,13.9,12.5,253.0
3W,2,3,Sb,softwood,0.78,27.61087268,0.261,48.65,0.0376,26.97,48.19,1569.62,202.19,138.91,1293.35,13.94535274,2308.686723,1.784308752,0.127986189,0.228685741,7.448634849,0.959493049,0.659197683,13.3,12.0,190.0
3W,2,3,Sb,softwood,0.43,28.06682578,0.239,50.18,0.0899,66.95,470.2,2695.31,418.46,199.76,558.31,13.42526335,2180.570896,3.906602702,0.290931091,2.04325316,11.71246421,1.818417093,0.86805668,14.3,13.0,246.0
3W,2,3,Sb,softwood,2.21,69.44600939,0.213,48.99,0.0556,42.31,72.73,1872.58,330.81,309.07,880.45,13.15022295,1897.268063,2.153257896,0.163856729,0.281666271,7.252064156,1.28114972,1.196955788,13.2,7.4,189.7
3W,2,4,Sb,softwood,0.75,70.81362346,0.178,49.25,0.1607,91.65,108.99,3305.08,293.28,342.34,306.53,17.52928888,1593.92503,5.200888372,0.296615693,0.3527348,10.69654769,0.949170219,1.107947807,9.9,9.0,280.0
3W,2,4,Sb,softwood,0.9,50.47887324,0.12,45.66,0.1306,76.07,944.67,2579.02,228.44,318.1,349.73,17.16149011,996.228144,2.84948304,0.165972569,2.061118793,5.627008997,0.49841953,0.694043304,13.7,13.0,205.0
3W,2,5,Sb,softwood,1.52,61.95039459,0,51.49,0.2213,140.5,2289.81,4789.28,882.08,481.76,232.67,15.7523507,0,0,0,0,0,0,0,23.0,18.9,226.0
3W,2,5,Sb,softwood,0.64,80.8040201,0.125,52.91,0.136,84.47,324.63,1715.25,286.94,75.28,388.92,16.10539323,1202.512025,3.09094,0.191979193,0.737802833,3.898334438,0.652142885,0.17109262,9.8,8.5,260.0
3W,2,5,Pj,softwood,0.78,76.56662665,0.136,49.5,0.1516,97.08,227.64,2331.6,382.31,114.71,326.4,15.62003268,1224.01224,3.748692032,0.240054764,0.562897265,5.765468563,0.945357817,0.283649382,8.9,9.1,212.0
3W,2,1,Po,hardwood,0.28,72.18208092,0.434,49.68,0.067,46.68,668.27,7492.27,1024.95,8.81,741.95,14.3451311,3920.242838,5.28696196,0.36835132,5.273310551,59.12141266,8.087868151,0.069519604,11.0,9.0,237.0
3W,2,1,Po,hardwood,0.89,83.63780778,0.342,46.29,0.1042,39.88,5607.25,5787,1191.73,40.08,444.12,26.13745962,2878.425148,6.479410248,0.247983571,34.86724867,35.98497803,7.410467922,0.24922722,10.3,9.2,182.0
3W,2,1,Po,hardwood,0.75,57.01112878,0.458,49.43,0.0794,54.66,787.4,5557.25,780.67,5.1,622.52,14.52797804,4116.212071,6.611920664,0.455173279,6.556960114,46.27719913,6.500917009,0.042469516,9.7,9.0,145.0
3W,2,2,Po,hardwood,1.2,47.7553034,0.304,49.47,0.1009,39.8,159.6,4417.64,697.11,41.46,490.44,25.34458379,2734.369162,5.577073952,0.219987654,0.882161549,24.41774527,3.853155622,0.229163019,9.5,8.5,168.2
3W,2,2,Po,hardwood,0.9,58.12558326,0.286,49.35,0.0522,29.11,2295.86,2465.86,1108.46,6.58,945.46,17.9297523,2566.225662,2.714427144,0.151373514,11.93859138,12.82260022,5.76404964,0.034216342,9.8,8.0,201.0
3W,2,2,Po,hardwood,0.53,50.78431373,0.209,48.32,0.0921,36.72,593.19,5584.17,1050.36,33.96,524.88,25.07520638,1836.178362,3.499834998,0.139537395,2.254144541,21.2200582,3.991407914,0.12904929,8.4,8.0,207.0
